ZE,ENDEREÇO,BAIRRO,CIDADE,Address,Latitude,Longitude
4,RUA JARDIM BOTÂNICO 1060,JARDIM BOTÂNICO,RIO DE JANEIRO,RUA JARDIM BOTÂNICO 1060	JARDIM BOTÂNICO	RIO DE JANEIRO,-22.972134,-43.224327
5,RUA MIGUEL LEMOS 97,COPACABANA,RIO DE JANEIRO,RUA MIGUEL LEMOS 97	COPACABANA	RIO DE JANEIRO,-22.977688,-43.19263
7,RUA ANTONIO BASILIO 76,TIJUCA,RIO DE JANEIRO,RUA ANTONIO BASILIO 76	TIJUCA	RIO DE JANEIRO,-22.92492,-43.235859
8,"AVENIDA DOM HÉLDER CÂMARA, 4175",DEL CASTILHO,RIO DE JANEIRO,"AVENIDA DOM HÉLDER CÂMARA, 4175	DEL CASTILHO	RIO DE JANEIRO",-22.881416,-43.274331
9,AV AYRTON SENNA 2001 BLOCO C,BARRA DA TIJUCA,RIO DE JANEIRO,AV AYRTON SENNA 2001 BLOCO C	BARRA DA TIJUCA	RIO DE JANEIRO,-22.992461,-43.366854
10,"RUA ASSIS CARNEIRO, 436",PIEDADE,RIO DE JANEIRO,"RUA ASSIS CARNEIRO, 436	PIEDADE	RIO DE JANEIRO",-22.893642,-43.312148
14,"RUA GETULIO, 127",TODOS OS SANTOS,RIO DE JANEIRO,"RUA GETULIO, 127	TODOS OS SANTOS	RIO DE JANEIRO",-22.895333,-43.280462
16,RUA CONDE DE BAEPENDI N 40,LARANJEIRAS,RIO DE JANEIRO,RUA CONDE DE BAEPENDI N 40	LARANJEIRAS	RIO DE JANEIRO,-22.932738,-43.179037
17,RUA JARDIM BOTÂNICO 1060,JARDIM BOTÂNICO,RIO DE JANEIRO,RUA JARDIM BOTÂNICO 1060	JARDIM BOTÂNICO	RIO DE JANEIRO,-22.972134,-43.224327
21,RUA FILOMENA NUNES 971,OLARIA,RIO DE JANEIRO,RUA FILOMENA NUNES 971	OLARIA	RIO DE JANEIRO,-22.843123,-43.266031
22,AV. MONSENHOR FELIX 512- XIV REGIÃO ADMINISTRATIVA,IRAJÁ,RIO DE JANEIRO,AV. MONSENHOR FELIX 512- XIV REGIÃO ADMINISTRATIVA	IRAJÁ	RIO DE JANEIRO,-22.867696,-43.286708
23,RUA JOAO VICENTE 1545 A,MARECHAL HERMES,RIO DE JANEIRO,RUA JOAO VICENTE 1545 A	MARECHAL HERMES	RIO DE JANEIRO,-22.861764,-43.370132
24,RUA FIGUEIREDO CAMARGO 1133 SALA 204,BANGU,RIO DE JANEIRO,RUA FIGUEIREDO CAMARGO 1133 SALA 204	BANGU	RIO DE JANEIRO,-22.871357,-43.461132
25,PRAÇA DA SUPERINTENDÊNCIA 420,SANTA CRUZ,RIO DE JANEIRO,PRAÇA DA SUPERINTENDÊNCIA 420	SANTA CRUZ	RIO DE JANEIRO,-22.912525,-43.686489
26,"PRAÇA GETÚLIO VARGAS, 89/97 - ANTIGO FÓRUM",CENTRO,NOVA FRIBURGO,"PRAÇA GETÚLIO VARGAS, 89/97 - ANTIGO FÓRUM	CENTRO	NOVA FRIBURGO",-22.9323401,-43.2279651
27,TRAVESSA VILA IBOTY 16,CENTRO,NOVA IGUAÇU,TRAVESSA VILA IBOTY 16	CENTRO	NOVA IGUAÇU,-22.761472,-43.451217
28,"AV. MARECHAL CASTELO BRANCO, 119 SALA 301",CENTRO,PARAÍBA DO SUL,"AV. MARECHAL CASTELO BRANCO, 119 SALA 301	CENTRO	PARAÍBA DO SUL",-22.163295,-43.290199
29,"AV. IPIRANGA, 545",CENTRO,PETRÓPOLIS,"AV. IPIRANGA, 545	CENTRO	PETRÓPOLIS",-22.503962,-43.175414
30,RUA BARAO DO PIRAI 322,CENTRO,PIRAÍ,RUA BARAO DO PIRAI 322	CENTRO	PIRAÍ,-22.627517,-43.898857
31,PRACA MARECHAL JOSE PESSOA 95 - EDIFICIO DO FORUM,CENTRO,RESENDE,PRACA MARECHAL JOSE PESSOA 95 - EDIFICIO DO FORUM	CENTRO	RESENDE,-22.467556,-44.448663
32,"RODOVIA LINHA VERDE, QUADRA X, LOTE 1 - CONDOMÍNIO INDUSTRIAL",GREEN VALLEY,RIO BONITO,"RODOVIA LINHA VERDE, QUADRA X, LOTE 1 - CONDOMÍNIO INDUSTRIAL	GREEN VALLEY	RIO BONITO",FAILED,FAILED
34,"AVENIDA JOÃO JASBICK, S/N - EDIFICIO DO FÓRUM",DEZESSETE,SANTO ANTÔNIO DE PÁDUA,"AVENIDA JOÃO JASBICK, S/N - EDIFICIO DO FÓRUM	DEZESSETE	SANTO ANTÔNIO DE PÁDUA",FAILED,FAILED
35,"PRAÇA DA JUSTIÇA S/N, FÓRUM FRANCISCO POLYCARPO, 2 ANDAR, CENTRO",CENTRO,SÃO FIDÉLIS,"PRAÇA DA JUSTIÇA S/N, FÓRUM FRANCISCO POLYCARPO, 2 ANDAR, CENTRO	CENTRO	SÃO FIDÉLIS",FAILED,FAILED
36,RUA FELICIANO SODRÉ 153- FUNDOS,CENTRO,SÃO GONÇALO,RUA FELICIANO SODRÉ 153- FUNDOS	CENTRO	SÃO GONÇALO,-22.824119,-43.048612
37,"RUA SÃO BENEDITO, 199",CENTRO,SÃO JOÃO DA BARRA,"RUA SÃO BENEDITO, 199	CENTRO	SÃO JOÃO DA BARRA",-21.634173,-41.046439
38,"RUA ALICE QUINTELA MAURICI REGADAS, 66 - TÉRREO",VÁRZEA,TERESÓPOLIS,"RUA ALICE QUINTELA MAURICI REGADAS, 66 - TÉRREO	VÁRZEA	TERESÓPOLIS",-22.40977,-42.964967
40,AV. TENENTE ENEAS TORNO 42 EDIFICIO DO FORUM,NOVA NITERÓI,TRÊS RIOS,AV. TENENTE ENEAS TORNO 42 EDIFICIO DO FORUM	NOVA NITERÓI	TRÊS RIOS,FAILED,FAILED
41,"RUA DOMINGOS DE ALMEIDA, 65, CENTRO",CENTRO,VASSOURAS,"RUA DOMINGOS DE ALMEIDA, 65, CENTRO	CENTRO	VASSOURAS",-22.406729,-43.662082
42,"RUA NILO PEÇANHA, 347",CENTRO,BOM JARDIM,"RUA NILO PEÇANHA, 347	CENTRO	BOM JARDIM",-22.150858,-42.419667
43,"RUA VIGARIO JOAO BATISTA, 14 - EDIFICIO DO FORUM",CENTRO,NATIVIDADE,"RUA VIGARIO JOAO BATISTA, 14 - EDIFICIO DO FORUM	CENTRO	NATIVIDADE",FAILED,FAILED
45,"RUA PREFEITO SINVAL AUGUSTO FERREIRA DA SILVA, 151 - LOJA 03",CENTRO,PORCIÚNCULA,"RUA PREFEITO SINVAL AUGUSTO FERREIRA DA SILVA, 151 - LOJA 03	CENTRO	PORCIÚNCULA",FAILED,FAILED
48,"RUA CALMÉRIO RODRIGUES FERREIRA, 33, LOJA C",CENTRO,MIGUEL PEREIRA,"RUA CALMÉRIO RODRIGUES FERREIRA, 33, LOJA C	CENTRO	MIGUEL PEREIRA",-22.453938,-43.471666
49,"RUA DALMO COELHO GOMES, N 1, SALA 311, PRÉDIO DO FÓRUM",BETEL,CACHOEIRAS DE MACACU,"RUA DALMO COELHO GOMES, N 1, SALA 311, PRÉDIO DO FÓRUM	BETEL	CACHOEIRAS DE MACACU",FAILED,FAILED
50,"RUA WALDEMIR HERINGER DA SILVA, 600, SALA 07",SOCIEDADE FLUMINENSE,CASIMIRO DE ABREU,"RUA WALDEMIR HERINGER DA SILVA, 600, SALA 07	SOCIEDADE FLUMINENSE	CASIMIRO DE ABREU",FAILED,FAILED
51,"RUA FUED ANTÔNIO, 8 - ANEXO AO EDIFÍCIO DO FÓRUM",CENTRO,CONCEIÇÃO DE MACABU,"RUA FUED ANTÔNIO, 8 - ANEXO AO EDIFÍCIO DO FÓRUM	CENTRO	CONCEIÇÃO DE MACABU",FAILED,FAILED
52,AV. RAUL VEIGA 157 EDIFÍCIO DO FORUM,CENTRO,CORDEIRO,AV. RAUL VEIGA 157 EDIFÍCIO DO FORUM	CENTRO	CORDEIRO,-22.028511,-42.362614
54,"ESTRADA SÃO JOÃO MARCOS, S/N - SEGUNDO PAVIMENTO - FORUM",RANCHITO,MANGARATIBA,"ESTRADA SÃO JOÃO MARCOS, S/N - SEGUNDO PAVIMENTO - FORUM	RANCHITO	MANGARATIBA",-22.938983,-44.036194
55,"AVENIDA ROBERTO SILVEIRA, 524-A - LJS 02 E 03",FLAMENGO,MARICÁ,"AVENIDA ROBERTO SILVEIRA, 524-A - LJS 02 E 03	FLAMENGO	MARICÁ",FAILED,FAILED
56,"RUA ALBERTO TORRES, 114 - EDIFÍCIO DO FÓRUM",CENTRO,MENDES,"RUA ALBERTO TORRES, 114 - EDIFÍCIO DO FÓRUM	CENTRO	MENDES",FAILED,FAILED
57,"TRAVESSA SANTA RITA, 43 - EDIFÍCIO DO FÓRUM",CENTRO HISTÓRICO,PARATY,"TRAVESSA SANTA RITA, 43 - EDIFÍCIO DO FÓRUM	CENTRO HISTÓRICO	PARATY",FAILED,FAILED
59,"RUA FRANCISCO COELHO PEREIRA, 456",CENTRO,SÃO PEDRO DA ALDEIA,"RUA FRANCISCO COELHO PEREIRA, 456	CENTRO	SÃO PEDRO DA ALDEIA",-22.842015,-42.101835
60,"RUA JOÃO LUIZ DAFLON, 65 - TÉRREO",CENTRO,SÃO SEBASTIÃO DO ALTO,"RUA JOÃO LUIZ DAFLON, 65 - TÉRREO	CENTRO	SÃO SEBASTIÃO DO ALTO",FAILED,FAILED
61,"PRAÇA BARÃO DE AYURUOCA, 75",CENTRO,SAPUCAIA,"PRAÇA BARÃO DE AYURUOCA, 75	CENTRO	SAPUCAIA",FAILED,FAILED
62,"AV. SAQUAREMA, N 883",PORTO NOVO,SAQUAREMA,"AV. SAQUAREMA, N 883	PORTO NOVO	SAQUAREMA",-22.928838,-42.488189
63,"RUA SILVA JARDIM, 46, EDIFÍCIO DO FÓRUM",CENTRO,SILVA JARDIM,"RUA SILVA JARDIM, 46, EDIFÍCIO DO FÓRUM	CENTRO	SILVA JARDIM",FAILED,FAILED
64,"RUA JOÃO AMÂNCIO, 214 - EDIFÍCIO DO FÓRUM",CENTRO,SUMIDOURO,"RUA JOÃO AMÂNCIO, 214 - EDIFÍCIO DO FÓRUM	CENTRO	SUMIDOURO",FAILED,FAILED
65,AVENIDA IPIRANGA 545,CENTRO,PETRÓPOLIS,AVENIDA IPIRANGA 545	CENTRO	PETRÓPOLIS,-22.503962,-43.175414
68,"RUA FELICIANO SODRÉ, 153",CENTRO,SÃO GONÇALO,"RUA FELICIANO SODRÉ, 153	CENTRO	SÃO GONÇALO",-22.824051,-43.048514
69,"RUA DR. FELICIANO SODRÉ, 153, 2 ANDAR",CENTRO,SÃO GONÇALO,"RUA DR. FELICIANO SODRÉ, 153, 2 ANDAR	CENTRO	SÃO GONÇALO",-22.824126,-43.048763
70,"RUA PEDRO CANEPA, 132",CENTRO,PARACAMBI,"RUA PEDRO CANEPA, 132	CENTRO	PARACAMBI",FAILED,FAILED
71,RUA VISCONDE DE SEPETIBA 987 FUNDOS 3 ANDAR,CENTRO,NITERÓI,RUA VISCONDE DE SEPETIBA 987 FUNDOS 3 ANDAR	CENTRO	NITERÓI,-22.892902,-43.118389
72,RUA VISCONDE DE SEPETIBA 987 - 2 ANDAR FUNDOS,CENTRO,NITERÓI,RUA VISCONDE DE SEPETIBA 987 - 2 ANDAR FUNDOS	CENTRO	NITERÓI,FAILED,FAILED
74,RODOVIA LUCIANO MEDEIROS 568 - EDIFICIO DO FORUM,CENTRO,ENGENHEIRO PAULO DE FRONTIN,RODOVIA LUCIANO MEDEIROS 568 - EDIFICIO DO FORUM	CENTRO	ENGENHEIRO PAULO DE FRONTIN,FAILED,FAILED
75,"AV. DR. ALBERTO TORRES, 81 - CENTRO",CENTRO,CAMPOS DOS GOYTACAZES,"AV. DR. ALBERTO TORRES, 81 - CENTRO	CENTRO	CAMPOS DOS GOYTACAZES",-21.754743,-41.326182
76,"AV. ALBERTO TORRES, 81",CENTRO,CAMPOS DOS GOYTACAZES,"AV. ALBERTO TORRES, 81	CENTRO	CAMPOS DOS GOYTACAZES",-21.754743,-41.326182
78,"AV. BRIGADEIRO LIMA E SILVA, 282",PARQUE DUQUE,DUQUE DE CAXIAS,"AV. BRIGADEIRO LIMA E SILVA, 282	PARQUE DUQUE	DUQUE DE CAXIAS",-22.79925,-43.293149
79,"AV. BRIGADEIRO LIMA E SILVA, 282",PARQUE DUQUE,DUQUE DE CAXIAS,"AV. BRIGADEIRO LIMA E SILVA, 282	PARQUE DUQUE	DUQUE DE CAXIAS",-22.79925,-43.293149
83,"RUA PARANÁ, N. 1 (3ANDAR) - 3 ANDAR",CENTRO,MESQUITA,"RUA PARANÁ, N. 1 (3ANDAR) - 3 ANDAR	CENTRO	MESQUITA",-22.782613,-43.430494
84,"RUA CORONEL BERNARDINO DE MELO, 2585",CENTRO,NOVA IGUAÇU,"RUA CORONEL BERNARDINO DE MELO, 2585	CENTRO	NOVA IGUAÇU",-22.758847,-43.455823
87,"RUA OLIVEIRA BOTELHO, S/N",NEVES,SÃO GONÇALO,"RUA OLIVEIRA BOTELHO, S/N	NEVES	SÃO GONÇALO",-22.854618,-43.097905
88,AV. PRESIDENTE LINCOLN 911 LOJA J EDIFICIO ANTARES,VILAR DOS TELES,SÃO JOÃO DE MERITI,AV. PRESIDENTE LINCOLN 911 LOJA J EDIFICIO ANTARES	VILAR DOS TELES	SÃO JOÃO DE MERITI,-22.778506,-43.367934
89,"AVENIDA PRESIDENTE LINCOLN, 911 LOJA V",VILAR DOS TELES,SÃO JOÃO DE MERITI,"AVENIDA PRESIDENTE LINCOLN, 911 LOJA V	VILAR DOS TELES	SÃO JOÃO DE MERITI",-22.776437,-43.365021
90,"AV. LUCAS EVANGELISTA DE OLIVEIRA FRANCO, 437 - ANTIGO FÓRUM",ATERRADO,VOLTA REDONDA,"AV. LUCAS EVANGELISTA DE OLIVEIRA FRANCO, 437 - ANTIGO FÓRUM	ATERRADO	VOLTA REDONDA",-22.505322,-44.085399
91,RUA ARGEMIRO DE PAULA COUTINHO N 2000 - EDIFICIO DO FORUM,BARBARÁ,BARRA MANSA,RUA ARGEMIRO DE PAULA COUTINHO N 2000 - EDIFICIO DO FORUM	BARBARÁ	BARRA MANSA,-22.547391,-44.159224
92,"RUA BENTO LISBOA, 65",CENTRO,ARARUAMA,"RUA BENTO LISBOA, 65	CENTRO	ARARUAMA",-22.877326,-42.340609
93,"RUA JOSÉ ALVES PIMENTA, 869 - BAIRRO MATADOURO",MATADOURO,BARRA DO PIRAÍ,"RUA JOSÉ ALVES PIMENTA, 869 - BAIRRO MATADOURO	MATADOURO	BARRA DO PIRAÍ",-22.458108,-43.819787
94,"RUA ARGEMIRO DE PAULA COUTINHO, 2000",BARBARÁ,BARRA MANSA,"RUA ARGEMIRO DE PAULA COUTINHO, 2000	BARBARÁ	BARRA MANSA",-22.546884,-44.157812
95,"RUA EXPEDICIONÁRIO PAULO MOREIRA, 67",CENTRO,BOM JESUS DO ITABAPOANA,"RUA EXPEDICIONÁRIO PAULO MOREIRA, 67	CENTRO	BOM JESUS DO ITABAPOANA",-21.134902,-41.678395
96,"RUA RUI BARBOSA, 608, SOBRELOJA.",CENTRO,CABO FRIO,"RUA RUI BARBOSA, 608, SOBRELOJA.	CENTRO	CABO FRIO",-22.881623,-42.019484
97,"RUA MARIA JACOB, 134 - EDIFICIO DO FORUM",CENTRO,CAMBUCI,"RUA MARIA JACOB, 134 - EDIFICIO DO FORUM	CENTRO	CAMBUCI",FAILED,FAILED
98,"AV. ALBERTO TORRES, 81",CENTRO,CAMPOS DOS GOYTACAZES,"AV. ALBERTO TORRES, 81	CENTRO	CAMPOS DOS GOYTACAZES",-21.754743,-41.326182
101,"RUA OLÍVIA TEIXEIRA DA SILVA, 85",CENTRO,CANTAGALO,"RUA OLÍVIA TEIXEIRA DA SILVA, 85	CENTRO	CANTAGALO",-21.981431,-42.369736
102,"RUA MANOEL GOULART, 42 - LOJAS 01 E 02",CENTRO,CARMO,"RUA MANOEL GOULART, 42 - LOJAS 01 E 02	CENTRO	CARMO",FAILED,FAILED
103,"AVENIDA BRIGADEIRO LIMA E SILVA, 282",PARQUE DUQUE,DUQUE DE CAXIAS,"AVENIDA BRIGADEIRO LIMA E SILVA, 282	PARQUE DUQUE	DUQUE DE CAXIAS",-22.79925,-43.293149
104,"RUA DESEMBARGADOR FERREIRA PINTO, 09, CENTRO, ITABORAÍ/RJ",CENTRO,ITABORAÍ,"RUA DESEMBARGADOR FERREIRA PINTO, 09, CENTRO, ITABORAÍ/RJ	CENTRO	ITABORAÍ",-22.741962,-42.855761
105,RUA MOISÉS ABRAÃO 124,CENTRO,ITAGUAÍ,RUA MOISÉS ABRAÃO 124	CENTRO	ITAGUAÍ,-22.871634,-43.77957
106,"RUA JOAQUIM SOARES MONTEIRO, 001 - EDIFÍCIO DO FORUM",LOTEAMENTO RECREIO,ITAOCARA,"RUA JOAQUIM SOARES MONTEIRO, 001 - EDIFÍCIO DO FORUM	LOTEAMENTO RECREIO	ITAOCARA",FAILED,FAILED
107,"AVENIDA CARDOSO MOREIRA, 485",CENTRO,ITAPERUNA,"AVENIDA CARDOSO MOREIRA, 485	CENTRO	ITAPERUNA",-21.206156,-41.889691
108,"RUA MANOEL PORTUGAL, 156 - EDIFÍCIO DO FORUM - SALA 04",CENTRO,RIO CLARO,"RUA MANOEL PORTUGAL, 156 - EDIFÍCIO DO FORUM - SALA 04	CENTRO	RIO CLARO",-22.726206,-44.13765
109,RUA VISCONDE DE QUISSAMA 174,CENTRO,MACAÉ,RUA VISCONDE DE QUISSAMA 174	CENTRO	MACAÉ,-22.369858,-41.780448
110,RUA DOUTOR DOMINGOS BELLIZZE 183,CENTRO,MAGÉ,RUA DOUTOR DOMINGOS BELLIZZE 183	CENTRO	MAGÉ,-22.657607,-43.038168
111,"RUA ARAUJO LEITE , 166 - EDIFICIO DO FORUM - SALA 01 - TERREO",CENTRO,VALENÇA,"RUA ARAUJO LEITE , 166 - EDIFICIO DO FORUM - SALA 01 - TERREO	CENTRO	VALENÇA",FAILED,FAILED
112,"AV. DEPUTADO LUIZ FERNANDO LINHARES, 1020, 3 PAVIMENTO - FÓRUM",CENTRO,MIRACEMA,"AV. DEPUTADO LUIZ FERNANDO LINHARES, 1020, 3 PAVIMENTO - FÓRUM	CENTRO	MIRACEMA",FAILED,FAILED
116,AV. ALMIRANTE JULIO CESAR DE NORONHA 58,SAO BENTO,ANGRA DOS REIS,AV. ALMIRANTE JULIO CESAR DE NORONHA 58	SAO BENTO	ANGRA DOS REIS,-23.01048,-44.322074
